,Unnamed: 0,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
agglomerative,17.0,19.0,0.182,0.11199999999999999,0.182,0.138,0.071,0.138,0.059000000000000004,0.015,0.059000000000000004
kmeans,16.0,18.0,0.20600000000000002,0.128,0.20600000000000002,0.135,0.071,0.135,0.063,0.016,0.063
specteral,18.0,20.0,0.195,0.129,0.195,0.147,0.081,0.147,0.057,0.013999999999999999,0.057
fcluster,17.0,19.0,0.182,0.11199999999999999,0.182,0.138,0.071,0.138,0.059000000000000004,0.015,0.059000000000000004
skfuzzy,5.0,7.0,0.158,0.33,0.158,0.126,0.262,0.126,0.013999999999999999,0.012,0.013999999999999999
online,9.0,0.91,1.0,0.415,1.0,1.0,0.41,1.0,1.0,0.233,1.0
