,Unnamed: 0,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub
specteral,10.0,12.0,0.27624542640022515,0.09864817327503894,0.1453804850953527,0.7653285339515588,0.25225225225225223,0.035177647117945625,0.061744729646290915,0.7836821019665263
agglomerative,2.0,4.0,0.5758513931888545,0.08022428294155702,0.1408290743895514,0.4923128546153377,0.5333333333333333,0.029015625306330506,0.055037001227176384,0.4832326683342485
kmeans,2.0,4.0,0.5320855614973262,0.0805204761803352,0.13987385087767973,0.5271693815711874,0.5135135135135135,0.03034691313329216,0.05730716641196815,0.5232953043336791
fcluster,2.0,4.0,0.5758513931888545,0.08022428294155702,0.1408290743895514,0.4923128546153377,0.5333333333333333,0.029015625306330506,0.055037001227176384,0.4832326683342485
