,Unnamed: 0,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
agglomerative,36.0,19.0,0.154,0.212,0.17800000000000002,0.8690000000000001,0.184,0.115,0.142,0.907,0.262,0.066,0.105,0.925
kmeans,35.0,18.0,0.156,0.20600000000000002,0.17800000000000002,0.866,0.18100000000000002,0.10800000000000001,0.135,0.903,0.257,0.062,0.099,0.922
specteral,36.0,19.0,0.184,0.205,0.19399999999999998,0.8590000000000001,0.20600000000000002,0.10400000000000001,0.138,0.892,0.285,0.057999999999999996,0.096,0.91
fcluster,36.0,19.0,0.154,0.212,0.17800000000000002,0.8690000000000001,0.184,0.115,0.142,0.907,0.262,0.066,0.105,0.925
skfuzzy,18.0,20.0,0.42200000000000004,0.38799999999999996,0.405,0.888,0.33899999999999997,0.13699999999999998,0.195,0.889,0.172,0.025,0.044000000000000004,0.892
online,8.0,0.9,0.048,1.0,0.092,0.873,0.053,0.667,0.098,0.92,0.018000000000000002,0.33299999999999996,0.034,0.877
