,Unnamed: 0,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
agglomerative,18.0,20.0,0.201,0.12300000000000001,0.201,0.153,0.08199999999999999,0.153,0.076,0.02,0.076
kmeans,17.0,19.0,0.19699999999999998,0.126,0.19699999999999998,0.157,0.085,0.157,0.071,0.018000000000000002,0.071
specteral,15.0,17.0,0.207,0.135,0.207,0.155,0.085,0.155,0.068,0.017,0.068
fcluster,18.0,20.0,0.201,0.12300000000000001,0.201,0.153,0.08199999999999999,0.153,0.076,0.02,0.076
skfuzzy,1.0,3.0,1.0,0.004,1.0,1.0,0.004,1.0,1.0,0.002,1.0
online,3.0,0.4,1.0,0.41,1.0,1.0,0.40700000000000003,1.0,1.0,0.231,1.0
