,Unnamed: 0,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
agglomerative,33.0,16.0,0.303,0.701,0.423,0.867,0.402,0.642,0.494,0.9079999999999999,0.259,0.552,0.35200000000000004,0.858
kmeans,25.0,8.0,0.43200000000000005,0.489,0.45899999999999996,0.836,0.5329999999999999,0.41600000000000004,0.467,0.865,0.34299999999999997,0.358,0.35,0.8109999999999999
specteral,24.0,7.0,0.49700000000000005,0.531,0.513,0.848,0.607,0.44799999999999995,0.516,0.873,0.301,0.297,0.299,0.79
fcluster,33.0,16.0,0.303,0.701,0.423,0.867,0.402,0.642,0.494,0.9079999999999999,0.259,0.552,0.35200000000000004,0.858
skfuzzy,19.0,2.0,0.47700000000000004,0.451,0.46399999999999997,0.8220000000000001,0.523,0.341,0.413,0.835,0.322,0.28,0.3,0.7759999999999999
