,Unnamed: 0,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
agglomerative,18.0,20.0,0.187,0.11900000000000001,0.187,0.156,0.085,0.156,0.061,0.015,0.061
kmeans,16.0,18.0,0.184,0.11599999999999999,0.184,0.155,0.083,0.155,0.06,0.015,0.06
specteral,17.0,19.0,0.16899999999999998,0.113,0.16899999999999998,0.152,0.086,0.152,0.047,0.011000000000000001,0.047
fcluster,18.0,20.0,0.187,0.11900000000000001,0.187,0.156,0.085,0.156,0.061,0.015,0.061
skfuzzy,14.0,16.0,0.168,0.391,0.168,0.14300000000000002,0.27899999999999997,0.14300000000000002,0.023,0.026000000000000002,0.023
online,15.0,0.9159999999999999,0.171,0.557,0.171,0.147,0.48200000000000004,0.147,0.031,0.096,0.031
