,Unnamed: 0,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
agglomerative,34.0,17.0,0.303,0.662,0.41600000000000004,0.863,0.402,0.606,0.483,0.904,0.287,0.5770000000000001,0.38299999999999995,0.863
kmeans,34.0,17.0,0.303,0.662,0.41600000000000004,0.863,0.402,0.606,0.483,0.904,0.287,0.5770000000000001,0.38299999999999995,0.863
specteral,29.0,12.0,0.303,0.5529999999999999,0.392,0.848,0.402,0.506,0.44799999999999995,0.89,0.287,0.48200000000000004,0.36,0.848
fcluster,34.0,17.0,0.303,0.662,0.41600000000000004,0.863,0.402,0.606,0.483,0.904,0.287,0.5770000000000001,0.38299999999999995,0.863
skfuzzy,31.0,14.0,0.484,0.349,0.405,0.7709999999999999,0.57,0.284,0.379,0.792,0.34299999999999997,0.228,0.27399999999999997,0.7290000000000001
online,2.0,0.30000000000000004,0.46799999999999997,0.223,0.302,0.7120000000000001,0.474,0.138,0.214,0.716,0.23199999999999998,0.1,0.14,0.6559999999999999
