,Unnamed: 0,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
agglomerative,17.0,19.0,0.301,0.193,0.301,0.2,0.109,0.2,0.07400000000000001,0.019,0.07400000000000001
kmeans,16.0,18.0,0.317,0.20600000000000002,0.317,0.221,0.12300000000000001,0.221,0.071,0.019,0.071
specteral,14.0,16.0,0.294,0.20199999999999999,0.294,0.207,0.11900000000000001,0.207,0.073,0.019,0.073
fcluster,17.0,19.0,0.301,0.193,0.301,0.2,0.109,0.2,0.07400000000000001,0.019,0.07400000000000001
skfuzzy,11.0,13.0,0.342,0.401,0.342,0.19,0.228,0.19,0.027000000000000003,0.016,0.027000000000000003
online,18.0,0.919,0.938,0.389,0.938,0.877,0.36700000000000005,0.877,0.8109999999999999,0.19399999999999998,0.8109999999999999
