,Unnamed: 0,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,agglomerative,0.21847058823529414,0.17064705882352946,0.18194117647058825,0.6945882352941176,0.21594117647058825,0.12694117647058825,0.1495294117647059,0.7186470588235294,0.2190588235294118,0.1213529411764706,0.15235294117647058,0.7101176470588235
1,kmeans,0.2347647058823529,0.17558823529411766,0.18952941176470586,0.6927647058823531,0.2337058823529412,0.13588235294117645,0.15876470588235292,0.7162941176470587,0.22482352941176476,0.12311764705882353,0.15482352941176475,0.7084117647058823
2,specteral,0.1594375,0.16899999999999998,0.155875,0.7364999999999999,0.16231249999999994,0.1319375,0.135875,0.762375,0.1395625,0.1049375,0.11500000000000002,0.7581875
3,fcluster,0.21847058823529414,0.17064705882352946,0.18194117647058825,0.6945882352941176,0.21594117647058825,0.12694117647058825,0.1495294117647059,0.7186470588235294,0.2190588235294118,0.1213529411764706,0.15235294117647058,0.7101176470588235
4,skfuzzy,0.39045,0.15365,0.20795,0.57035,0.3704,0.10845,0.15550000000000005,0.5710000000000001,0.37125,0.10764999999999998,0.16425,0.5698000000000001
0,online,1.0,0.193,0.316,0.193,1.0,0.156,0.262,0.156,1.0,0.157,0.271,0.157
