,Unnamed: 0,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
agglomerative,16.0,18.0,0.34600000000000003,0.233,0.34600000000000003,0.233,0.135,0.233,0.081,0.021,0.081
kmeans,17.0,19.0,0.36,0.23199999999999998,0.36,0.244,0.136,0.244,0.084,0.022000000000000002,0.084
specteral,18.0,20.0,0.39,0.262,0.39,0.254,0.14800000000000002,0.254,0.08800000000000001,0.023,0.08800000000000001
fcluster,16.0,18.0,0.34600000000000003,0.233,0.34600000000000003,0.233,0.135,0.233,0.081,0.021,0.081
skfuzzy,18.0,20.0,0.507,0.6409999999999999,0.507,0.316,0.431,0.316,0.051,0.034,0.051
online,12.0,0.9129999999999999,0.998,0.41200000000000003,0.998,0.992,0.41700000000000004,0.992,0.98,0.228,0.98
