,Unnamed: 0,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
agglomerative,33.0,16.0,0.27699999999999997,0.623,0.384,0.856,0.402,0.623,0.489,0.9059999999999999,0.273,0.565,0.368,0.861
kmeans,36.0,19.0,0.265,0.672,0.38,0.861,0.38299999999999995,0.672,0.488,0.9109999999999999,0.273,0.639,0.382,0.8690000000000001
specteral,33.0,16.0,0.29,0.672,0.405,0.863,0.42100000000000004,0.672,0.517,0.9129999999999999,0.273,0.5820000000000001,0.371,0.863
fcluster,33.0,16.0,0.27699999999999997,0.623,0.384,0.856,0.402,0.623,0.489,0.9059999999999999,0.273,0.565,0.368,0.861
skfuzzy,26.0,9.0,0.703,0.217,0.331,0.542,0.72,0.153,0.252,0.525,0.65,0.185,0.28800000000000003,0.521
online,0.0,0.1,0.79,0.16399999999999998,0.271,0.434,0.895,0.114,0.20199999999999999,0.42200000000000004,0.75,0.14,0.237,0.41700000000000004
