,Unnamed: 0,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub
specteral,10.0,12.0,0.7973543484379397,0.07528367569291276,0.1375777000777001,0.27769304293006325,0.8230630630630631,0.030347320028699738,0.05853633532811357,0.2529538567913286
agglomerative,1.0,3.0,0.8301435406698564,0.07398349512127825,0.1358590511285122,0.2369593069367336,0.8551351351351352,0.02976145684400632,0.0575209977093408,0.2092916844609847
kmeans,1.0,3.0,0.8114269631297495,0.0749629475545386,0.13724650099971436,0.2628881703373803,0.834954954954955,0.030122988117215737,0.058148143500683876,0.23678644784739594
fcluster,1.0,3.0,0.8301435406698564,0.07398349512127825,0.1358590511285122,0.2369593069367336,0.8551351351351352,0.02976145684400632,0.0575209977093408,0.2092916844609847
