,Unnamed: 0,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
agglomerative,36.0,19.0,0.265,0.631,0.373,0.856,0.327,0.5379999999999999,0.40700000000000003,0.894,0.259,0.569,0.35600000000000004,0.861
kmeans,33.0,16.0,0.265,0.48200000000000004,0.342,0.836,0.327,0.41200000000000003,0.365,0.873,0.259,0.435,0.325,0.84
specteral,21.0,4.0,0.626,0.247,0.354,0.632,0.626,0.17,0.268,0.619,0.49700000000000005,0.18100000000000002,0.265,0.59
fcluster,36.0,19.0,0.265,0.631,0.373,0.856,0.327,0.5379999999999999,0.40700000000000003,0.894,0.259,0.569,0.35600000000000004,0.861
skfuzzy,34.0,17.0,0.5870000000000001,0.259,0.36,0.6629999999999999,0.626,0.191,0.293,0.6629999999999999,0.483,0.19699999999999998,0.27899999999999997,0.63
online,8.0,0.9,0.742,0.153,0.254,0.419,0.737,0.09300000000000001,0.166,0.39399999999999996,0.607,0.113,0.191,0.381
