,Unnamed: 0,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
agglomerative,31.0,14.0,0.381,0.532,0.444,0.846,0.514,0.495,0.505,0.888,0.231,0.297,0.26,0.804
kmeans,36.0,19.0,0.303,0.516,0.382,0.8420000000000001,0.439,0.516,0.475,0.892,0.259,0.40700000000000003,0.316,0.8340000000000001
specteral,18.0,4.0,0.6,0.27,0.37200000000000005,0.6729999999999999,0.645,0.2,0.305,0.6729999999999999,0.469,0.19399999999999998,0.275,0.632
fcluster,31.0,14.0,0.381,0.532,0.444,0.846,0.514,0.495,0.505,0.888,0.231,0.297,0.26,0.804
skfuzzy,21.0,4.0,0.845,0.196,0.319,0.41700000000000004,0.85,0.136,0.235,0.384,0.72,0.154,0.254,0.371
online,6.0,0.7000000000000001,0.71,0.159,0.26,0.462,0.711,0.098,0.172,0.441,0.607,0.12300000000000001,0.205,0.43200000000000005
