,Unnamed: 0,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
agglomerative,35.0,18.0,0.381,0.831,0.522,0.888,0.514,0.775,0.618,0.929,0.287,0.5770000000000001,0.38299999999999995,0.863
kmeans,36.0,19.0,0.381,0.8809999999999999,0.532,0.892,0.514,0.821,0.632,0.9329999999999999,0.287,0.612,0.39,0.867
specteral,28.0,11.0,0.419,0.67,0.516,0.873,0.5329999999999999,0.588,0.5589999999999999,0.9059999999999999,0.287,0.423,0.342,0.836
fcluster,35.0,18.0,0.381,0.831,0.522,0.888,0.514,0.775,0.618,0.929,0.287,0.5770000000000001,0.38299999999999995,0.863
skfuzzy,34.0,17.0,0.523,0.638,0.574,0.875,0.607,0.512,0.556,0.892,0.287,0.32299999999999995,0.304,0.804
online,4.0,0.5,0.40299999999999997,0.455,0.42700000000000005,0.856,0.395,0.273,0.32299999999999995,0.865,0.08900000000000001,0.091,0.09,0.7829999999999999
