,Unnamed: 0,Unnamed: 0.1,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub
sp_char,specteral,specteral,29.0,0.5758513931888545,0.6805255280226177,0.6238280356734507,0.9498200231834544,0.5455855855855856,0.2517877931149177,0.3445607646791078,0.9414312732597157
app_char,kmeans,kmeans,17.0,0.6671826625386997,0.6310395314787701,0.6486079759217457,0.947766050474854,0.5866666666666667,0.21669106881405564,0.3164852255054432,0.9284973461045696
entities,kmeans,kmeans,4.0,0.423444976076555,0.09396077941543844,0.15379504216713522,0.6633111666971712,0.4846846846846847,0.041999750187359484,0.0773010718698813,0.6735098529680923
keywords,specteral,specteral,12.0,0.27624542640022515,0.09864817327503894,0.1453804850953527,0.7653285339515588,0.25225225225225223,0.035177647117945625,0.06174472964629092,0.7836821019665263
w_sp_ch_lines,specteral,specteral,19.0,0.4905713481564874,0.4337979094076655,0.4604411570466253,0.9169259553006732,0.4554954954954955,0.15729218516674962,0.23383590787161224,0.9157769507656641
w_sp_ch_words,agglomerative,agglomerative,16.0,0.4451168027019421,0.3180812550281577,0.3710263929618768,0.8909564191731235,0.4854054054054054,0.13545856798069186,0.21180910448934664,0.8980639781994184
doc2vec,specteral,specteral,12.0,0.7973543484379397,0.07528367569291276,0.1375777000777001,0.27769304293006325,0.8230630630630631,0.030347320028699738,0.05853633532811357,0.2529538567913286
d2v_bert,specteral,specteral,4.0,0.8722206585983676,0.07465940710938722,0.13754535468193468,0.20965773900311147,0.8832432432432432,0.0295240733825602,0.05713819470346885,0.1774957802045838
tfidf_text,specteral,specteral,12.0,0.2656909653813679,0.17275139537011622,0.2093706681452731,0.8550118967726191,0.258018018018018,0.06551377070180255,0.10449503794512552,0.8752160738616721
