,threshold,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,0.1,80.0,0.414,0.101,0.162,0.612,0.436,0.046,0.084,0.623,0.449,0.018,0.034,0.626
1,0.2,159.0,0.093,0.18,0.122,0.88,0.088,0.075,0.081,0.921,0.103,0.032,0.049,0.942
2,0.30000000000000004,360.0,0.008,0.302,0.016,0.909,0.008,0.128,0.015,0.958,0.014,0.083,0.024,0.983
3,0.4,430.0,0.001,0.438,0.002,0.91,0.001,0.312,0.003,0.96,0.003,0.25,0.005,0.985
4,0.5,439.0,0.0,0.6,0.001,0.91,0.001,0.6,0.002,0.96,0.001,0.4,0.003,0.985
5,0.6000000000000001,440.0,0.0,0.75,0.001,0.91,0.001,0.75,0.002,0.96,0.001,0.5,0.003,0.985
6,0.7000000000000001,440.0,0.0,0.75,0.001,0.91,0.001,0.75,0.002,0.96,0.001,0.5,0.003,0.985
7,0.8,441.0,0.0,0.667,0.0,0.91,0.001,0.667,0.001,0.96,0.001,0.333,0.001,0.985
8,0.9,441.0,0.0,0.667,0.0,0.91,0.001,0.667,0.001,0.96,0.001,0.333,0.001,0.985
9,0.9,441.0,0.0,0.667,0.0,0.91,0.001,0.667,0.001,0.96,0.001,0.333,0.001,0.985
10,0.91,441.0,0.0,0.667,0.0,0.91,0.001,0.667,0.001,0.96,0.001,0.333,0.001,0.985
11,0.92,441.0,0.0,0.667,0.0,0.91,0.001,0.667,0.001,0.96,0.001,0.333,0.001,0.985
12,0.93,441.0,0.0,0.667,0.0,0.91,0.001,0.667,0.001,0.96,0.001,0.333,0.001,0.985
13,0.9400000000000001,441.0,0.0,0.667,0.0,0.91,0.001,0.667,0.001,0.96,0.001,0.333,0.001,0.985
14,0.9500000000000001,441.0,0.0,0.667,0.0,0.91,0.001,0.667,0.001,0.96,0.001,0.333,0.001,0.985
15,0.96,441.0,0.0,0.667,0.0,0.91,0.001,0.667,0.001,0.96,0.001,0.333,0.001,0.985
16,0.97,441.0,0.0,0.667,0.0,0.91,0.001,0.667,0.001,0.96,0.001,0.333,0.001,0.985
17,0.98,441.0,0.0,0.667,0.0,0.91,0.001,0.667,0.001,0.96,0.001,0.333,0.001,0.985
18,0.99,441.0,0.0,0.667,0.0,0.91,0.001,0.667,0.001,0.96,0.001,0.333,0.001,0.985
