,Unnamed: 0,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
agglomerative,24.0,7.0,0.43200000000000005,0.374,0.401,0.792,0.551,0.33,0.413,0.825,0.34299999999999997,0.27399999999999997,0.304,0.767
kmeans,24.0,7.0,0.43200000000000005,0.374,0.401,0.792,0.551,0.33,0.413,0.825,0.34299999999999997,0.27399999999999997,0.304,0.767
specteral,34.0,17.0,0.27699999999999997,0.662,0.391,0.861,0.38299999999999995,0.631,0.47700000000000004,0.9059999999999999,0.259,0.569,0.35600000000000004,0.861
fcluster,24.0,7.0,0.43200000000000005,0.374,0.401,0.792,0.551,0.33,0.413,0.825,0.34299999999999997,0.27399999999999997,0.304,0.767
skfuzzy,19.0,2.0,0.613,0.17600000000000002,0.273,0.473,0.757,0.15,0.25,0.494,0.49700000000000005,0.131,0.20800000000000002,0.436
online,1.0,0.2,0.645,0.19899999999999998,0.304,0.606,0.5529999999999999,0.10400000000000001,0.17600000000000002,0.5760000000000001,0.518,0.14400000000000002,0.226,0.5720000000000001
