,threshold,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,0.1,0.935,0.14,0.243,0.473,0.901,0.059,0.111,0.426,0.893,0.022,0.042,0.406
1,0.2,0.836,0.214,0.341,0.707,0.762,0.086,0.154,0.667,0.809,0.034,0.064,0.656
2,0.30000000000000004,0.817,0.381,0.519,0.863,0.774,0.158,0.263,0.828,0.69,0.052,0.097,0.811
3,0.4,0.704,0.535,0.608,0.918,0.682,0.228,0.342,0.896,0.624,0.077,0.137,0.885
4,0.5,0.523,0.672,0.588,0.934,0.472,0.266,0.341,0.927,0.479,0.1,0.165,0.929
5,0.6000000000000001,0.255,0.733,0.378,0.924,0.256,0.323,0.286,0.949,0.309,0.144,0.197,0.963
6,0.7000000000000001,0.128,0.823,0.221,0.919,0.146,0.413,0.216,0.958,0.187,0.195,0.191,0.977
7,0.8,0.047,0.871,0.089,0.913,0.063,0.515,0.113,0.96,0.087,0.26,0.13,0.983
8,0.9,0.018,0.925,0.035,0.911,0.026,0.584,0.05,0.961,0.039,0.324,0.069,0.985
9,1.0,0.002,0.882,0.003,0.91,0.002,0.471,0.004,0.96,0.005,0.412,0.01,0.985
