,Unnamed: 0,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
agglomerative,18.0,20.0,0.359,0.22899999999999998,0.359,0.243,0.136,0.243,0.091,0.024,0.091
kmeans,14.0,16.0,0.348,0.23,0.348,0.228,0.132,0.228,0.078,0.02,0.078
specteral,18.0,20.0,0.36700000000000005,0.242,0.36700000000000005,0.249,0.141,0.249,0.083,0.021,0.083
fcluster,18.0,20.0,0.359,0.22899999999999998,0.359,0.243,0.136,0.243,0.091,0.024,0.091
skfuzzy,14.0,16.0,0.57,0.43799999999999994,0.57,0.22899999999999998,0.203,0.22899999999999998,0.055999999999999994,0.023,0.055999999999999994
online,8.0,0.9,0.997,0.39899999999999997,0.997,0.986,0.40399999999999997,0.986,0.946,0.222,0.946
