,Unnamed: 0,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
agglomerative,16.0,18.0,0.332,0.215,0.332,0.226,0.125,0.226,0.071,0.018000000000000002,0.071
kmeans,16.0,18.0,0.324,0.21100000000000002,0.324,0.21600000000000003,0.12,0.21600000000000003,0.071,0.018000000000000002,0.071
specteral,18.0,20.0,0.326,0.213,0.326,0.21899999999999997,0.122,0.21899999999999997,0.08800000000000001,0.023,0.08800000000000001
fcluster,16.0,18.0,0.332,0.215,0.332,0.226,0.125,0.226,0.071,0.018000000000000002,0.071
skfuzzy,2.0,4.0,0.324,0.272,0.324,0.16699999999999998,0.13699999999999998,0.16699999999999998,0.026000000000000002,0.009000000000000001,0.026000000000000002
online,15.0,0.9159999999999999,0.992,0.402,0.992,0.9620000000000001,0.38799999999999996,0.9620000000000001,0.883,0.205,0.883
