,Unnamed: 0,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,agglomerative,0.2770588235294117,0.29205882352941176,0.26935294117647063,0.7848823529411765,0.27617647058823525,0.2182941176470588,0.22935294117647054,0.8088823529411765,0.2904705882352941,0.2553529411764706,0.2662352941176471,0.8192352941176472
1,kmeans,0.2700588235294117,0.2891764705882353,0.26364705882352946,0.785,0.2695294117647058,0.21758823529411764,0.2262941176470588,0.8097058823529412,0.2792941176470589,0.24682352941176475,0.2564705882352941,0.8174117647058825
2,specteral,0.2662352941176471,0.3004117647058824,0.26429411764705885,0.7928823529411764,0.257,0.2177058823529412,0.21882352941176472,0.8152941176470588,0.2811764705882353,0.2638823529411765,0.266,0.8281176470588236
3,fcluster,0.2770588235294117,0.29205882352941176,0.26935294117647063,0.7848823529411765,0.27617647058823525,0.2182941176470588,0.22935294117647054,0.8088823529411765,0.2904705882352941,0.2553529411764706,0.2662352941176471,0.8192352941176472
4,skfuzzy,0.8068,0.4111,0.47935,0.70235,0.8049,0.2897,0.3727500000000001,0.6760500000000002,0.72805,0.3121999999999999,0.3913,0.6794999999999999
0,online,0.8859999999999999,0.802,0.828,0.915,0.843,0.616,0.6890000000000001,0.868,0.8009999999999999,0.6679999999999999,0.7090000000000001,0.8740000000000001
