,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub
0,2.0,0.9231635237827188,0.09051896620717252,0.1648717594279754,0.3242531470522441,0.88,0.03369623711553587,0.06490710469659516,0.2845463974132146
1,3.0,0.8893892485223754,0.1124135109656534,0.19959890725914697,0.4846053728672239,0.8681081081081081,0.04284875758168656,0.08166655366465522,0.4491082504626523
2,4.0,0.8361947649873347,0.13402503665275742,0.23102194747380492,0.5977772354747524,0.7351351351351352,0.04601330777038457,0.08660581617490977,0.5624631403412442
3,5.0,0.7686462144666479,0.18919948733936057,0.30365531619179986,0.745276879588392,0.6998198198198198,0.06726938931033288,0.12274048792820123,0.717731275293352
4,6.0,0.7531663383056572,0.19427202439289992,0.30887317847352475,0.7564618794867102,0.6965765765765766,0.07016588623906495,0.12748977707426462,0.7309702479002704
5,7.0,0.7129186602870813,0.27480336316788717,0.3966955091813163,0.8433184877880138,0.6645045045045045,0.10002712232167074,0.17388024516737388,0.8218331198015171
6,8.0,0.7002533070644525,0.32546275099744915,0.44438490734538966,0.8734773147865699,0.6421621621621622,0.11655438550591929,0.1972984942426926,0.8525613649767149
7,9.0,0.7002533070644525,0.4085050488465643,0.5159952299476331,0.9050800235901816,0.6421621621621622,0.14629340776619326,0.23829901043059645,0.8841640737803266
8,10.0,0.6947649873346468,0.44711103061039664,0.5440819925060613,0.9158684644011957,0.6299099099099099,0.1583046549538127,0.25302164000868493,0.8950541964085982
9,11.0,0.6746411483253588,0.47385588613225266,0.5566974394704756,0.922365932523946,0.6093693693693694,0.16714441039833944,0.2623332299100217,0.9033005917881765
10,12.0,0.673515339150014,0.518245804006497,0.5857658650021418,0.9311715778984402,0.6064864864864865,0.1822414726583649,0.2802664446294754,0.9121062371626706
11,13.0,0.6667604840979454,0.5320606400898372,0.591843107863344,0.9335509324222643,0.6021621621621621,0.18764738910724313,0.2861301369863014,0.9152177007707482
12,14.0,0.6645088657472559,0.5487507263219059,0.601107504296353,0.9362760051247636,0.601081081081081,0.19384079023823358,0.29314586994727587,0.9182071461981168
13,15.0,0.6515620602307909,0.5566911145845858,0.6004019970174415,0.937333496024241,0.6007207207207207,0.20043284838283035,0.3005769924269744,0.9211152461716796
14,16.0,0.619898677174219,0.5508315618356884,0.5833278156657619,0.9360116323998943,0.5718918918918919,0.19844941853194947,0.2946528035647976,0.9227421552477986
15,17.0,0.5478468899521531,0.5280792186652198,0.5377814615278355,0.9319545278913225,0.5452252252252252,0.20523602821486706,0.29821622154331323,0.9275923779309784
16,18.0,0.5467210807768084,0.5540501996577296,0.5503612409689758,0.9354523824049783,0.5434234234234234,0.21505989731888192,0.3081638908756513,0.9311512415349887
17,19.0,0.5333520968195891,0.5895162544719241,0.560029553010713,0.9394484778231956,0.5347747747747748,0.23082905584072172,0.32246849196001737,0.9365912187582617
18,20.0,0.533211370672671,0.5926794931956828,0.5613749166604934,0.939794196001871,0.5344144144144144,0.23197246988894102,0.32351657940663175,0.9369369369369369
19,21.0,0.5268786940613566,0.6041633048249153,0.5628805532586635,0.9408720232647998,0.5326126126126126,0.23850250121026303,0.32946946054391435,0.9388282187379253
20,22.0,0.5263157894736842,0.6268856855514583,0.5722154222766218,0.9431395277896406,0.5326126126126126,0.2477371773382501,0.33817641002173665,0.9411770687165721
21,23.0,0.5125246270757107,0.6262035763411279,0.5636898312954651,0.9426717914302565,0.5192792792792793,0.24776478679504815,0.3354673495518566,0.9419498505277286
22,24.0,0.4849423022797636,0.6256354393609296,0.5463770413825908,0.941817664165294,0.5145945945945946,0.25925925925925924,0.34480260775081495,0.9448172777743884
23,25.0,0.43990993526597244,0.6107854630715123,0.5114528795811518,0.939275618733858,0.4900900900900901,0.26572880031262214,0.34460914734574943,0.9473999959327273
24,26.0,0.382915845764143,0.5773392743475493,0.4604450461121923,0.9351575051349318,0.34954954954954953,0.20581370676851263,0.25908119658119655,0.9435869277855734
25,27.0,0.3810864058542077,0.5950340584486926,0.46461353693059965,0.936540377849633,0.34594594594594597,0.2109426499670402,0.2620802620802621,0.945030809590629
26,28.0,0.3754573599774838,0.6087154916723705,0.46444425102271736,0.9374351778414984,0.34378378378378377,0.21765913757700206,0.26655490360435874,0.9466170459398451
27,29.0,0.3484379397692091,0.5987908101571947,0.44053020193932924,0.9360523051267973,0.33981981981981985,0.22805320435308343,0.27293777134587555,0.9489150550098632
