,Unnamed: 0,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,agglomerative,0.16321052631578947,0.17957894736842106,0.16026315789473686,0.7645263157894737,0.17415789473684212,0.13815789473684212,0.14294736842105266,0.7937368421052631,0.15073684210526314,0.13010526315789472,0.13599999999999998,0.7863157894736844
1,kmeans,0.1678947368421053,0.1908947368421053,0.16621052631578945,0.7683157894736843,0.1811578947368421,0.1477894736842105,0.15136842105263154,0.7983684210526315,0.1443684210526316,0.12721052631578947,0.13126315789473686,0.7876315789473686
2,specteral,0.1397222222222222,0.1632222222222222,0.1405,0.7571666666666667,0.15544444444444444,0.1330555555555556,0.1328888888888889,0.7902777777777776,0.13216666666666665,0.1191111111111111,0.12211111111111113,0.7819444444444446
3,fcluster,0.168,0.18084210526315792,0.16273684210526318,0.7636315789473684,0.17415789473684212,0.13736842105263158,0.14205263157894735,0.792,0.15515789473684213,0.13221052631578945,0.13894736842105265,0.785421052631579
4,skfuzzy,0.66655,0.16115,0.2393500000000001,0.4107,0.6842500000000002,0.12435,0.18775000000000006,0.40005,0.6666,0.12245,0.20385,0.40955
0,online,0.674,0.37200000000000005,0.44299999999999995,0.634,0.7240000000000001,0.332,0.419,0.634,0.669,0.33,0.39899999999999997,0.618
