,Unnamed: 0,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub
specteral,27.0,29.0,0.5758513931888545,0.6805255280226177,0.6238280356734507,0.9498200231834544,0.5455855855855856,0.2517877931149177,0.3445607646791078,0.9414312732597157
agglomerative,12.0,14.0,0.6645088657472559,0.5487507263219059,0.601107504296353,0.9362760051247636,0.601081081081081,0.1938407902382336,0.2931458699472759,0.9182071461981168
kmeans,9.0,11.0,0.7158739093723614,0.5107429718875502,0.5961560998476503,0.9299208915461736,0.6569369369369369,0.18303212851405626,0.2862976050255202,0.9075813962947146
fcluster,12.0,14.0,0.6645088657472559,0.5487507263219059,0.601107504296353,0.9362760051247636,0.601081081081081,0.1938407902382336,0.2931458699472759,0.9182071461981168
