,Unnamed: 0,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
agglomerative,18.0,20.0,0.201,0.127,0.201,0.159,0.084,0.159,0.07200000000000001,0.018000000000000002,0.07200000000000001
kmeans,16.0,18.0,0.204,0.129,0.204,0.16,0.085,0.16,0.076,0.02,0.076
specteral,18.0,20.0,0.19399999999999998,0.12300000000000001,0.19399999999999998,0.157,0.085,0.157,0.066,0.017,0.066
fcluster,18.0,20.0,0.201,0.127,0.201,0.159,0.084,0.159,0.07200000000000001,0.018000000000000002,0.07200000000000001
skfuzzy,17.0,19.0,0.17300000000000001,0.594,0.17300000000000001,0.16399999999999998,0.505,0.16399999999999998,0.018000000000000002,0.04,0.018000000000000002
online,7.0,0.8,0.877,0.385,0.877,0.877,0.37799999999999995,0.877,0.861,0.20800000000000002,0.861
